Ticker,Close,Date,High,Low,Month,Open,Volume,Daily_return,Baseline,Cum_Return
TRENT,2022.3,2023-10-04 05:30:00,2055.95,2007.6,2023-10,2054.0,551771,-0.017871885775338714,2059.1,-0.017871885775338717
TRENT,2047.6,2023-10-05 05:30:00,2058.15,2022.3,2023-10,2022.95,461744,0.012510507837610652,2059.1,-0.005584964304793357
TRENT,2072.1,2023-10-06 05:30:00,2091.9,2050.1,2023-10,2055.85,444220,0.011965227583512483,2059.1,0.006313437909766403
TRENT,2079.05,2023-10-09 05:30:00,2089.45,2032.4,2023-10,2035.0,487722,0.003354085227547099,2059.1,0.009688698946141652
TRENT,2050.8,2023-10-10 05:30:00,2089.75,2047.1,2023-10,2089.75,351329,-0.01358793679805681,2059.1,-0.004030887280850725
TRENT,2101.3,2023-10-11 05:30:00,2114.8,2055.0,2023-10,2058.45,729470,0.02462453676613996,2059.1,0.02049439075324184
TRENT,2077.2,2023-10-12 05:30:00,2107.8,2070.0,2023-10,2105.0,285544,-0.011469090562984952,2059.1,0.008790248166674716
TRENT,2084.8,2023-10-13 05:30:00,2109.7,2071.45,2023-10,2075.0,321887,0.0036587714230695845,2059.1,0.01248118109853833
TRENT,2107.65,2023-10-16 05:30:00,2117.0,2080.5,2023-10,2093.0,446019,0.010960283960091965,2059.1,0.023578262347627693
TRENT,2079.0,2023-10-17 05:30:00,2117.6,2073.1,2023-10,2116.95,373789,-0.01359333855241629,2059.1,0.009664416492642462
TRENT,2048.95,2023-10-18 05:30:00,2090.4,2031.2,2023-10,2089.1,432748,-0.014454064454064497,2059.1,-0.004929338060317659
TRENT,2060.6,2023-10-19 05:30:00,2074.0,2020.0,2023-10,2045.95,350097,0.00568583908831366,2059.1,0.0007284736049730465
TRENT,2036.15,2023-10-20 05:30:00,2060.6,2024.4,2023-10,2060.6,353937,-0.011865476074929493,2059.1,-0.011145646156087523
TRENT,1991.95,2023-10-23 05:30:00,2041.15,1980.0,2023-10,2035.0,488451,-0.021707634506298645,2059.1,-0.03261133504929332
TRENT,1993.25,2023-10-25 05:30:00,2007.9,1973.8,2023-10,2007.9,512770,0.0006526268229622989,2059.1,-0.0319799912583167
TRENT,2031.1,2023-10-26 05:30:00,2040.95,1945.0,2023-10,1980.0,966275,0.01898908817258249,2059.1,-0.013598173959496869
TRENT,2122.1,2023-10-27 05:30:00,2142.95,2031.15,2023-10,2031.15,999445,0.044803308552016086,2059.1,0.030595891408867953
TRENT,2119.75,2023-10-30 05:30:00,2143.2,2072.0,2023-10,2143.2,483782,-0.00110739361952783,2059.1,0.029454616094410226
TRENT,2154.7,2023-10-31 05:30:00,2165.0,2119.1,2023-10,2140.9,749792,0.016487793371859905,2059.1,0.04642805109028212
TRENT,2197.65,2023-11-01 05:30:00,2209.3,2148.95,2023-11,2163.7,1081257,0.01993316935072187,2059.1,0.06728667864601048
TRENT,2189.85,2023-11-02 05:30:00,2210.0,2175.0,2023-11,2210.0,474395,-0.003549245785270716,2059.1,0.06349861590015056
TRENT,2196.5,2023-11-03 05:30:00,2198.95,2180.0,2023-11,2195.0,230437,0.003036737676096468,2059.1,0.0667281822155311
TRENT,2233.2,2023-11-06 05:30:00,2245.5,2188.65,2023-11,2196.55,537580,0.01670839972683802,2059.1,0.08455150308387155
TRENT,2424.0,2023-11-07 05:30:00,2450.0,2181.7,2023-11,2234.45,3419427,0.08543793659322962,2059.1,0.17721334563644317
TRENT,2452.85,2023-11-08 05:30:00,2503.85,2391.05,2023-11,2450.0,2652822,0.011901815181518005,2059.1,0.19122432130542472
TRENT,2478.05,2023-11-09 05:30:00,2487.25,2438.2,2023-11,2453.0,684007,0.0102737631734513,2059.1,0.20346267786897201
TRENT,2489.35,2023-11-10 05:30:00,2504.15,2454.05,2023-11,2476.95,644072,0.004560037125965977,2059.1,0.20895051235976883
TRENT,2494.25,2023-11-12 05:30:00,2515.0,2491.15,2023-11,2510.2,75038,0.00196838532146959,2059.1,0.21133019280268084
TRENT,2559.05,2023-11-13 05:30:00,2564.0,2485.35,2023-11,2495.0,1131761,0.025979753432895825,2059.1,0.24280025253751653
TRENT,2553.15,2023-11-15 05:30:00,2579.8,2534.85,2023-11,2579.8,599328,-0.0023055430726246495,2059.1,0.23993492302462252
TRENT,2544.7,2023-11-16 05:30:00,2558.15,2491.4,2023-11,2556.5,766675,-0.003309637114936592,2059.1,0.23583118838327422
TRENT,2576.4,2023-11-17 05:30:00,2613.7,2544.75,2023-11,2547.55,717236,0.012457264117577749,2059.1,0.2512262639017047
TRENT,2622.75,2023-11-20 05:30:00,2637.3,2585.3,2023-11,2595.0,568578,0.017990218910107103,2059.1,0.2737360982953718
TRENT,2613.75,2023-11-21 05:30:00,2652.0,2605.95,2023-11,2634.9,519349,-0.003431512725193042,2059.1,0.2693652566655335
TRENT,2627.15,2023-11-22 05:30:00,2647.05,2607.5,2023-11,2625.0,395438,0.0051267336202773794,2059.1,0.2758729542032928
TRENT,2655.05,2023-11-23 05:30:00,2664.5,2631.5,2023-11,2644.8,398832,0.010619873246674238,2059.1,0.2894225632557915
TRENT,2649.7,2023-11-24 05:30:00,2668.0,2640.0,2023-11,2659.95,325606,-0.002015027965575178,2059.1,0.28682434073138746
TRENT,2671.75,2023-11-28 05:30:00,2683.5,2645.05,2023-11,2668.5,535972,0.008321696795863698,2059.1,0.29753290272449134
TRENT,2676.4,2023-11-29 05:30:00,2720.0,2668.0,2023-11,2694.0,460234,0.0017404323009264644,2059.1,0.2997911708999078
TRENT,2787.0,2023-11-30 05:30:00,2809.75,2675.0,2023-11,2676.4,2343154,0.04132416679121209,2059.1,0.3535039580399204
